timeseries,dataType
root.DianChang.d1.sensor382,FLOAT
root.DianChang.d1.sensor383,FLOAT
root.DianChang.d1.sensor384,FLOAT
root.DianChang.d1.sensor385,FLOAT
root.DianChang.d1.sensor386,FLOAT
root.DianChang.d1.sensor387,FLOAT
root.DianChang.d1.sensor388,FLOAT
root.DianChang.d1.sensor389,FLOAT
root.DianChang.d1.sensor390,FLOAT
root.DianChang.d1.sensor391,FLOAT
root.DianChang.d1.sensor392,FLOAT
root.DianChang.d1.sensor393,FLOAT
root.DianChang.d1.sensor394,FLOAT
root.DianChang.d1.sensor395,FLOAT
root.DianChang.d1.sensor396,FLOAT
root.DianChang.d1.sensor397,FLOAT
root.DianChang.d1.sensor398,FLOAT
root.DianChang.d1.sensor399,FLOAT
root.DianChang.d1.sensor400,FLOAT
root.DianChang.d1.sensor401,FLOAT
root.DianChang.d1.sensor402,FLOAT
root.DianChang.d1.sensor403,FLOAT
root.DianChang.d1.sensor404,FLOAT
root.DianChang.d1.sensor405,FLOAT
root.DianChang.d1.sensor406,FLOAT
root.DianChang.d1.sensor407,FLOAT
root.DianChang.d1.sensor408,FLOAT
root.DianChang.d1.sensor409,FLOAT
root.DianChang.d1.sensor410,FLOAT
root.DianChang.d1.sensor411,FLOAT
root.DianChang.d1.sensor412,FLOAT
root.DianChang.d1.sensor413,FLOAT
root.DianChang.d1.sensor414,FLOAT
root.DianChang.d1.sensor415,FLOAT
root.DianChang.d1.sensor416,FLOAT
root.DianChang.d1.sensor417,FLOAT
root.DianChang.d1.sensor418,FLOAT
root.DianChang.d1.sensor419,FLOAT
root.DianChang.d1.sensor420,FLOAT
root.DianChang.d1.sensor421,FLOAT
root.DianChang.d1.sensor422,FLOAT
root.DianChang.d1.sensor423,FLOAT
root.DianChang.d1.sensor424,FLOAT
root.DianChang.d1.sensor425,FLOAT
root.DianChang.d1.sensor426,FLOAT
root.DianChang.d1.sensor427,FLOAT
root.DianChang.d1.sensor428,FLOAT
root.DianChang.d1.sensor429,FLOAT
root.DianChang.d1.sensor430,FLOAT
root.DianChang.d1.sensor431,FLOAT
root.DianChang.d1.sensor432,FLOAT
root.DianChang.d1.sensor433,FLOAT
root.DianChang.d1.sensor434,FLOAT
root.DianChang.d1.sensor435,FLOAT
root.DianChang.d1.sensor436,FLOAT
root.DianChang.d1.sensor437,FLOAT
root.DianChang.d1.sensor438,FLOAT
root.DianChang.d1.sensor439,FLOAT
root.DianChang.d1.sensor440,FLOAT
root.DianChang.d1.sensor441,FLOAT
root.DianChang.d1.sensor442,FLOAT
root.DianChang.d1.sensor443,FLOAT
root.DianChang.d1.sensor444,FLOAT
root.DianChang.d1.sensor445,FLOAT
root.DianChang.d1.sensor446,FLOAT
root.DianChang.d1.sensor447,FLOAT
root.DianChang.d1.sensor448,FLOAT
root.DianChang.d1.sensor449,FLOAT
root.DianChang.d1.sensor450,FLOAT
root.DianChang.d1.sensor451,FLOAT
root.DianChang.d1.sensor452,FLOAT
root.DianChang.d1.sensor453,FLOAT
root.DianChang.d1.sensor454,FLOAT
root.DianChang.d1.sensor455,FLOAT
root.DianChang.d1.sensor456,FLOAT
root.DianChang.d1.sensor457,FLOAT
root.DianChang.d1.sensor458,FLOAT
root.DianChang.d1.sensor459,FLOAT
root.DianChang.d1.sensor460,FLOAT
root.DianChang.d1.sensor461,FLOAT
root.DianChang.d1.sensor462,FLOAT
root.DianChang.d1.sensor463,FLOAT
root.DianChang.d1.sensor464,FLOAT
root.DianChang.d1.sensor465,FLOAT
root.DianChang.d1.sensor466,FLOAT
root.DianChang.d1.sensor467,FLOAT
root.DianChang.d1.sensor468,FLOAT
root.DianChang.d1.sensor469,FLOAT
root.DianChang.d1.sensor470,FLOAT
root.DianChang.d1.sensor471,FLOAT
root.DianChang.d1.sensor472,FLOAT
root.DianChang.d1.sensor473,FLOAT
root.DianChang.d1.sensor474,FLOAT
root.DianChang.d1.sensor475,FLOAT
root.DianChang.d1.sensor476,FLOAT
root.DianChang.d1.sensor477,FLOAT
root.DianChang.d1.sensor478,FLOAT
root.DianChang.d1.sensor479,FLOAT
root.DianChang.d1.sensor480,FLOAT
root.DianChang.d1.sensor481,FLOAT
root.DianChang.d1.sensor482,FLOAT
root.DianChang.d1.sensor483,FLOAT
root.DianChang.d1.sensor484,FLOAT
root.DianChang.d1.sensor485,FLOAT
root.DianChang.d1.sensor486,FLOAT
root.DianChang.d1.sensor487,FLOAT
root.DianChang.d1.sensor488,FLOAT
root.DianChang.d1.sensor489,FLOAT
root.DianChang.d1.sensor490,FLOAT
root.DianChang.d1.sensor491,FLOAT
root.DianChang.d1.sensor492,FLOAT
root.DianChang.d1.sensor493,FLOAT
root.DianChang.d1.sensor494,FLOAT
root.DianChang.d1.sensor495,FLOAT
root.DianChang.d1.sensor496,FLOAT
root.DianChang.d1.sensor497,FLOAT
root.DianChang.d1.sensor498,FLOAT
root.DianChang.d1.sensor499,FLOAT
root.DianChang.d1.sensor500,FLOAT
root.DianChang.d1.sensor501,FLOAT
root.DianChang.d1.sensor502,FLOAT
root.DianChang.d1.sensor503,FLOAT
root.DianChang.d1.sensor504,FLOAT
root.DianChang.d1.sensor505,FLOAT
root.DianChang.d1.sensor506,FLOAT
root.DianChang.d1.sensor507,FLOAT
root.DianChang.d1.sensor508,FLOAT
root.DianChang.d1.sensor509,FLOAT
root.DianChang.d1.sensor510,FLOAT
root.DianChang.d1.sensor511,FLOAT
root.DianChang.d1.sensor512,FLOAT
root.DianChang.d1.sensor513,FLOAT
root.DianChang.d1.sensor514,FLOAT
root.DianChang.d1.sensor515,FLOAT
root.DianChang.d1.sensor516,FLOAT
root.DianChang.d1.sensor517,FLOAT
root.DianChang.d1.sensor518,FLOAT
root.DianChang.d1.sensor519,FLOAT
root.DianChang.d1.sensor520,FLOAT
root.DianChang.d1.sensor521,FLOAT
root.DianChang.d1.sensor522,FLOAT
root.DianChang.d1.sensor523,FLOAT
root.DianChang.d1.sensor524,FLOAT
root.DianChang.d1.sensor525,FLOAT
root.DianChang.d1.sensor526,FLOAT
root.DianChang.d1.sensor527,FLOAT
root.DianChang.d1.sensor528,FLOAT
root.DianChang.d1.sensor529,FLOAT
root.DianChang.d1.sensor530,FLOAT
root.DianChang.d1.sensor531,FLOAT
root.DianChang.d1.sensor532,FLOAT
root.DianChang.d1.sensor533,FLOAT
root.DianChang.d1.sensor534,FLOAT
root.DianChang.d1.sensor535,FLOAT
root.DianChang.d1.sensor536,FLOAT
root.DianChang.d1.sensor537,FLOAT
root.DianChang.d1.sensor538,FLOAT
root.DianChang.d1.sensor539,FLOAT
root.DianChang.d1.sensor540,FLOAT
root.DianChang.d1.sensor541,FLOAT
root.DianChang.d1.sensor542,FLOAT
root.DianChang.d1.sensor543,FLOAT
root.DianChang.d1.sensor544,FLOAT
root.DianChang.d1.sensor545,FLOAT
root.DianChang.d1.sensor546,FLOAT
root.DianChang.d1.sensor547,FLOAT
root.DianChang.d1.sensor548,FLOAT
root.DianChang.d1.sensor549,FLOAT
root.DianChang.d1.sensor550,FLOAT
